shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
290014,-27.485794,153.032609,10009
290014,-27.486273,153.032557,10010
290014,-27.486607,153.032546,10011
290014,-27.486950,153.032597,10012
290014,-27.487412,153.032772,10013
290014,-27.487815,153.032933,10014
290014,-27.488061,153.033019,10015
290014,-27.488409,153.033118,10016
290014,-27.489308,153.033296,10017
290014,-27.490279,153.033557,10018
290014,-27.490948,153.033813,10019
290014,-27.491343,153.034023,10020
290014,-27.491771,153.034355,10021
290014,-27.491846,153.034413,10022
290014,-27.492219,153.034814,10023
290014,-27.492660,153.035378,10024
290014,-27.493060,153.035906,10025
290014,-27.493206,153.036094,10026
290014,-27.493565,153.036466,10027
290014,-27.494506,153.037273,10028
290014,-27.495350,153.037925,10029
290014,-27.495464,153.037816,10030
290014,-27.495598,153.037666,10031
290014,-27.496579,153.036904,10032
290014,-27.496746,153.036641,10033
290014,-27.496832,153.036392,10034
290014,-27.496824,153.036141,10035
290014,-27.496738,153.035579,10036
290014,-27.496724,153.035337,10037
290014,-27.496727,153.035244,10038
290014,-27.496732,153.035191,10039
290014,-27.496764,153.035023,10040
290014,-27.496802,153.034838,10041
290014,-27.496831,153.034649,10042
290014,-27.496847,153.034507,10043
290014,-27.496830,153.034317,10044
290014,-27.496731,153.033615,10045
290014,-27.496731,153.033615,20001
290014,-27.496724,153.033561,20002
290014,-27.496559,153.032415,20003
290014,-27.496531,153.032266,20004
290014,-27.496494,153.032126,20005
290014,-27.496427,153.031912,20006
290014,-27.496402,153.031850,20007
290014,-27.496297,153.031631,20008
290014,-27.496115,153.031482,20009
290014,-27.496028,153.031432,20010
290014,-27.495864,153.031356,20011
290014,-27.495738,153.031304,20012
290014,-27.495409,153.031258,20013
290014,-27.495035,153.031241,20014
290014,-27.494780,153.031173,20015
290014,-27.494594,153.031095,20016
290014,-27.494461,153.031010,20017
290014,-27.494330,153.030898,20018
290014,-27.494234,153.030776,20019
290014,-27.494153,153.030654,20020
290014,-27.493876,153.030240,20021
290014,-27.493876,153.030240,30001
290014,-27.493782,153.030099,30002
290014,-27.493676,153.029939,30003
290014,-27.493627,153.029783,30004
290014,-27.493616,153.029586,30005
290014,-27.493635,153.029482,30006
290014,-27.493647,153.029411,30007
290014,-27.493711,153.029286,30008
290014,-27.493809,153.029205,30009
290014,-27.494167,153.029135,30010
290014,-27.494613,153.028952,30011
290014,-27.494915,153.028790,30012
290014,-27.495481,153.028416,30013
290014,-27.495978,153.028015,30014
290014,-27.496588,153.027414,30015
290014,-27.497203,153.026536,30016
290014,-27.497908,153.025295,30017
290014,-27.497955,153.025190,30018
290014,-27.498019,153.024981,30019
290014,-27.498042,153.024843,30020
290014,-27.498047,153.024799,30021
290014,-27.498050,153.024689,30022
290014,-27.498042,153.024542,30023
290014,-27.498034,153.024498,30024
290014,-27.498034,153.024498,40001
290014,-27.498010,153.024366,40002
290014,-27.497989,153.024279,40003
290014,-27.497927,153.023891,40004
290014,-27.497910,153.023638,40005
290014,-27.497668,153.019162,40006
290014,-27.497667,153.018998,40007
290014,-27.497686,153.018839,40008
290014,-27.497728,153.018678,40009
290014,-27.497769,153.018557,40010
290014,-27.497823,153.018445,40011
290014,-27.497863,153.018377,40012
290014,-27.497906,153.018311,40013
290014,-27.497948,153.018261,40014
290014,-27.497975,153.018226,40015
290014,-27.497978,153.018179,40016
290014,-27.497963,153.017952,40017
290014,-27.497963,153.017952,50001
290014,-27.497963,153.017952,50002
290014,-27.497963,153.017952,60001
290014,-27.497943,153.017656,60002
290014,-27.497933,153.017572,60003
290014,-27.497915,153.017537,60004
290014,-27.497880,153.017528,60005
290014,-27.497833,153.017535,60006
290014,-27.497789,153.017561,60007
290014,-27.497761,153.017592,60008
290014,-27.497729,153.017660,60009
290014,-27.497732,153.017768,60010
290014,-27.497767,153.018298,60011
290014,-27.497787,153.018398,60012
290014,-27.497787,153.018459,60013
290014,-27.497769,153.018557,60014
290014,-27.497728,153.018678,60015
290014,-27.497686,153.018839,60016
290014,-27.497667,153.018998,60017
290014,-27.497668,153.019162,60018
290014,-27.497910,153.023638,60019
290014,-27.497927,153.023891,60020
290014,-27.497989,153.024279,60021
290014,-27.498010,153.024366,60022
290014,-27.498042,153.024542,60023
290014,-27.498050,153.024689,60024
290014,-27.498048,153.024780,60025
290014,-27.498048,153.024780,70001
290014,-27.498047,153.024799,70002
290014,-27.498042,153.024843,70003
290014,-27.498019,153.024981,70004
290014,-27.497955,153.025190,70005
290014,-27.497908,153.025295,70006
290014,-27.497203,153.026536,70007
290014,-27.496588,153.027414,70008
290014,-27.495978,153.028015,70009
290014,-27.495481,153.028416,70010
290014,-27.494915,153.028790,70011
290014,-27.494613,153.028952,70012
290014,-27.494167,153.029135,70013
290014,-27.493809,153.029205,70014
290014,-27.493711,153.029286,70015
290014,-27.493647,153.029411,70016
290014,-27.493635,153.029482,70017
290014,-27.493616,153.029586,70018
290014,-27.493627,153.029783,70019
290014,-27.493676,153.029939,70020
290014,-27.493782,153.030099,70021
290014,-27.494092,153.030564,70022
290014,-27.494092,153.030564,80001
290014,-27.494153,153.030654,80002
290014,-27.494234,153.030776,80003
290014,-27.494330,153.030898,80004
290014,-27.494461,153.031010,80005
290014,-27.494594,153.031095,80006
290014,-27.494780,153.031173,80007
290014,-27.495035,153.031241,80008
290014,-27.495409,153.031258,80009
290014,-27.495738,153.031304,80010
290014,-27.495864,153.031356,80011
290014,-27.496028,153.031432,80012
290014,-27.496115,153.031482,80013
290014,-27.496297,153.031631,80014
290014,-27.496402,153.031850,80015
290014,-27.496427,153.031912,80016
290014,-27.496494,153.032126,80017
290014,-27.496531,153.032266,80018
290014,-27.496559,153.032415,80019
290014,-27.496724,153.033561,80020
290014,-27.496812,153.034188,80021
290014,-27.496812,153.034188,90001
290014,-27.496830,153.034317,90002
290014,-27.496847,153.034507,90003
290014,-27.496831,153.034649,90004
290014,-27.496802,153.034838,90005
290014,-27.496764,153.035023,90006
290014,-27.496732,153.035191,90007
290014,-27.496727,153.035244,90008
290014,-27.496724,153.035337,90009
290014,-27.496738,153.035579,90010
290014,-27.496824,153.036141,90011
290014,-27.496832,153.036392,90012
290014,-27.496746,153.036641,90013
290014,-27.496579,153.036904,90014
290014,-27.495598,153.037666,90015
290014,-27.495464,153.037816,90016
290014,-27.495350,153.037925,90017
290014,-27.494506,153.037273,90018
290014,-27.493565,153.036466,90019
290014,-27.493206,153.036094,90020
290014,-27.493060,153.035906,90021
290014,-27.492660,153.035378,90022
290014,-27.492219,153.034814,90023
290014,-27.491846,153.034413,90024
290014,-27.491771,153.034355,90025
290014,-27.491343,153.034023,90026
290014,-27.490948,153.033813,90027
290014,-27.490279,153.033557,90028
290014,-27.489308,153.033296,90029
290014,-27.488409,153.033118,90030
290014,-27.488061,153.033019,90031
290014,-27.487815,153.032933,90032
290014,-27.487412,153.032772,90033
290014,-27.486950,153.032597,90034
290014,-27.486607,153.032546,90035
290014,-27.486273,153.032557,90036
290014,-27.485794,153.032609,90037
290014,-27.485833,153.032752,90038
290014,-27.485890,153.032981,90039
290014,-27.486017,153.033855,90040
290014,-27.486024,153.033985,90041
290014,-27.486012,153.034112,90042
290014,-27.485989,153.034455,90043
290014,-27.486000,153.034537,90044
290014,-27.486073,153.035068,90045
300002,-27.467826,153.027583,10001
300002,-27.467671,153.027783,10002
300002,-27.467546,153.027945,10003
300002,-27.467020,153.028622,10004
300002,-27.466239,153.027860,10005
300002,-27.465513,153.027149,10006
300002,-27.465112,153.027029,10007
300002,-27.464934,153.026939,10008
300002,-27.464777,153.026793,10009
300002,-27.464714,153.026631,10010
300002,-27.464702,153.026384,10011
300002,-27.464697,153.026044,10012
300002,-27.464836,153.025019,10013
300002,-27.464451,153.024884,10014
300002,-27.464371,153.024853,10015
300002,-27.464371,153.024853,20001
300002,-27.463855,153.024662,20002
300002,-27.463472,153.024528,20003
300002,-27.462656,153.024127,20004
300002,-27.462362,153.024185,20005
300002,-27.462362,153.024185,30001
300002,-27.460862,153.024476,30002
300002,-27.460713,153.023539,30003
300002,-27.460658,153.023169,30004
300002,-27.460658,153.023169,40001
300002,-27.460578,153.022631,40002
300002,-27.460433,153.021583,40003
300002,-27.460400,153.021436,40004
300002,-27.460309,153.020822,40005
300002,-27.460268,153.020522,40006
300002,-27.460268,153.020522,50001
300002,-27.460249,153.020377,50002
300002,-27.460190,153.020005,50003
300002,-27.460089,153.019360,50004
300002,-27.460045,153.019056,50005
300002,-27.460000,153.018974,50006
300002,-27.459967,153.018928,50007
300002,-27.460123,153.018816,50008
300002,-27.460189,153.018785,50009
300002,-27.460561,153.018629,50010
300002,-27.460682,153.018636,50011
300002,-27.460789,153.018690,50012
300002,-27.461062,153.018866,50013
300002,-27.461130,153.018923,50014
300002,-27.461331,153.019300,50015
300002,-27.461434,153.019584,50016
300002,-27.461434,153.019584,60001
300002,-27.461639,153.020149,60002
300002,-27.461770,153.020526,60003
300002,-27.461903,153.020859,60004
300002,-27.462070,153.021352,60005
300002,-27.462599,153.021131,60006
300002,-27.462987,153.020967,60007
300002,-27.463259,153.020856,60008
300002,-27.463259,153.020856,70001
300002,-27.463519,153.020751,70002
300002,-27.463649,153.020700,70003
300002,-27.463694,153.020689,70004
300002,-27.463873,153.020720,70005
300002,-27.464016,153.020776,70006
300002,-27.464250,153.020812,70007
300002,-27.464299,153.020823,70008
300002,-27.464344,153.020844,70009
300002,-27.464391,153.020905,70010
300002,-27.464428,153.020944,70011
300002,-27.464515,153.021020,70012
300002,-27.464573,153.021078,70013
300002,-27.464573,153.021078,80001
300002,-27.464623,153.021127,80002
300002,-27.464709,153.021238,80003
300002,-27.464958,153.021631,80004
300002,-27.465406,153.022412,80005
300002,-27.465406,153.022412,90001
300002,-27.465559,153.022679,90002
300002,-27.465615,153.022824,90003
300002,-27.465643,153.022968,90004
300002,-27.465655,153.023158,90005
300002,-27.465661,153.023327,90006
300002,-27.465661,153.023327,100001
300002,-27.465662,153.023357,100002
300002,-27.465643,153.023479,100003
300002,-27.465403,153.023998,100004
300002,-27.465210,153.024268,100005
300002,-27.464897,153.024805,100006
300002,-27.464836,153.025019,100007
300002,-27.464925,153.024981,100008
300002,-27.465312,153.024815,100009
300002,-27.465461,153.024767,100010
300002,-27.465511,153.024751,100011
300002,-27.465774,153.024733,100012
300002,-27.466063,153.024762,100013
300002,-27.466473,153.025146,100014
300002,-27.466473,153.025146,110001
300002,-27.466735,153.025391,110002
300002,-27.466817,153.025468,110003
300002,-27.467553,153.026170,110004
300002,-27.467964,153.026567,110005
300002,-27.468331,153.026932,110006
300002,-27.467826,153.027583,110007
400004,-27.473676,153.028638,10001
400004,-27.474755,153.027254,10002
400004,-27.474136,153.026651,10003
400004,-27.474136,153.026651,20001
400004,-27.474008,153.026525,20002
400004,-27.473248,153.025783,20003
400004,-27.472498,153.025051,20004
400004,-27.472239,153.024798,20005
400004,-27.471731,153.024304,20006
400004,-27.471273,153.023858,20007
400004,-27.471273,153.023858,30001
400004,-27.470929,153.023524,30002
400004,-27.470576,153.023188,30003
400004,-27.470179,153.022794,30004
400004,-27.468866,153.024482,30005
400004,-27.468569,153.024867,30006
400004,-27.468569,153.024867,40001
400004,-27.468522,153.024928,40002
400004,-27.468279,153.025240,40003
400004,-27.468195,153.025348,40004
400004,-27.467553,153.026170,40005
400004,-27.467508,153.026226,40006
400004,-27.467135,153.026705,40007
400004,-27.467135,153.026705,50001
400004,-27.466899,153.027009,50002
400004,-27.466786,153.027153,50003
400004,-27.466239,153.027860,50004
400004,-27.465765,153.028473,50005
400004,-27.465599,153.028691,50006
400004,-27.464934,153.029545,50007
400004,-27.465208,153.029810,50008
400004,-27.465208,153.029810,60001
400004,-27.465317,153.029914,60002
400004,-27.465719,153.030318,60003
400004,-27.465869,153.030365,60004
400004,-27.466444,153.030208,60005
400004,-27.467244,153.029987,60006
400004,-27.467269,153.029980,60007
400004,-27.467269,153.029980,70001
400004,-27.467519,153.029916,70002
400004,-27.467645,153.029876,70003
400004,-27.467966,153.029764,70004
400004,-27.468085,153.029764,70005
400004,-27.468187,153.029792,70006
400004,-27.468516,153.030118,70007
400004,-27.469338,153.030257,70008
400004,-27.469588,153.030300,70009
400004,-27.469706,153.030290,70010
400004,-27.469754,153.030240,70011
400004,-27.469878,153.030091,70012
400004,-27.470131,153.029780,70013
400004,-27.470615,153.029159,70014
400004,-27.471114,153.029646,70015
400004,-27.471114,153.029646,80001
400004,-27.471372,153.029896,80002
400004,-27.472053,153.030579,80003
400004,-27.472089,153.030598,80004
400004,-27.472123,153.030598,80005
400004,-27.472148,153.030585,80006
400004,-27.472178,153.030553,80007
400004,-27.473442,153.028938,80008
400004,-27.473676,153.028638,80009
500001,-27.473798,153.026792,10001
500001,-27.473045,153.027751,10002
500001,-27.473045,153.027751,20001
500001,-27.472962,153.027856,20002
500001,-27.472688,153.028209,20003
500001,-27.471372,153.029896,20004
500001,-27.471182,153.030141,20005
500001,-27.471182,153.030141,30001
500001,-27.471123,153.030217,30002
500001,-27.470890,153.030518,30003
500001,-27.470131,153.029780,30004
500001,-27.469878,153.030091,30005
500001,-27.469754,153.030240,30006
500001,-27.469706,153.030290,30007
500001,-27.469588,153.030300,30008
500001,-27.469338,153.030257,30009
500001,-27.468963,153.030193,30010
500001,-27.468963,153.030193,40001
500001,-27.468516,153.030118,40002
500001,-27.468187,153.029792,40003
500001,-27.467787,153.029368,40004
500001,-27.467564,153.029672,40005
500001,-27.467487,153.029772,40006
500001,-27.467395,153.029883,40007
500001,-27.467244,153.029987,40008
500001,-27.466444,153.030208,40009
500001,-27.466116,153.030298,40010
500001,-27.466116,153.030298,50001
500001,-27.465869,153.030365,50002
500001,-27.465719,153.030318,50003
500001,-27.465317,153.029914,50004
500001,-27.464934,153.029545,50005
500001,-27.464429,153.029033,50006
500001,-27.464429,153.029033,60001
500001,-27.464193,153.028793,60002
500001,-27.464844,153.027997,60003
